TITULO_ORIGINAL,CPB,DATA_EMISSAO_CPB,SITUACAO_OBRA,PART_PATRIMONIAL_BRASILEIRA,ACORDO_COPRODUCAO
JOÃO E VANDINHA,B1500616000000,11/08/2015,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ITALIANA E TROCA DE NOTAS
JOÃO SEM DEUS - A QUEDA DE ABADIÂNIA,B2300431700000,02/10/2023,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
JUAN E A BAILARINA,B1301731400000,04/02/2013,DEFERIDO,MINORITÁRIA,
JUSTIÇA,B0400085500000,12/05/2004,DEFERIDO,MINORITÁRIA,
LA CAMA,B1800374500000,13/08/2018,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
LA ERECCIÓN DE TORIBIO BARDELLI,B2400100400000,08/03/2024,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
LA ESTRATÉGIA DEL MERO,B2300315200000,01/08/2023,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
LA OTRA FORMA,B2300491600000,03/11/2023,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
LA PARLE,B2100501800000,22/11/2021,DEFERIDO,MINORITÁRIA,
LA PLAYA D.C,B1301810400000,20/05/2013,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
LA TEORIA DE LOS VIDRIOS ROTOS,B2100277700000,05/07/2021,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
LA VINGANÇA,B1700077100000,16/02/2017,DEFERIDO,MAJORITÁRIA,
LAMAÇAL,B2100075500000,24/02/2021,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
LAS INESES,B1700028400000,17/01/2017,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
LAS PREÑADAS,B2300268500000,04/07/2023,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
LAS VACACIONES DE HILDA,B2200208200000,30/05/2022,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
LENITA,B2300513000000,14/11/2023,DEFERIDO,MAJORITÁRIA,
LEVANTE,B2300535000000,01/12/2023,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
LIBERDADE É UMA GRANDE PALAVRA,B1900036000000,24/01/2019,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
LILITH'S AWAKENING,B1600656200000,30/09/2016,DEFERIDO,MAJORITÁRIA,
LIXO EXTRAORDINÁRIO,B1001276700000,11/08/2010,DEFERIDO,MINORITÁRIA,
LO QUE QUEDA EN EL CAMINO,B2200307000000,15/08/2022,DEFERIDO,MINORITÁRIA,
LOPE,B1001321100000,05/11/2010,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
LORA,B2000327300000,11/08/2020,DEFERIDO,MAJORITÁRIA,
LOS DELINCUENTES,B2300373000000,30/08/2023,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
LOS LEONES,B1600773500000,12/12/2016,DEFERIDO,MINORITÁRIA,
LOS SILENCIOS,B1800445500000,21/09/2018,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
LOS TERRITORIOS,B1700605800000,12/12/2017,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
LUA EM SAGITÁRIO,B1600564300000,31/08/2016,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ARGENTINA
LÍNGUA - VIDAS EM PORTUGUÊS,B0400098900000,24/08/2004,DEFERIDO,IGUALITÁRIA,
MAPUTO NAKUZANDZA,B2400413300000,17/10/2024,DEFERIDO,MAJORITÁRIA,
MARACANÃ - TEMPLO DAS EMOÇÕES,B1500289000000,13/04/2015,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA
MARACANÃ - TEMPLO DAS EMOÇÕES,B1402208400000,16/06/2014,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA
MARACANÃ O FILME,B1402206500000,12/06/2014,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
MARAVILHAS DA NATUREZA,B2400042000000,29/01/2024,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
"MARÉ, NOSSA HISTÓRIA DE AMOR",B0700761400000,14/09/2007,DEFERIDO,MAJORITÁRIA,
MATA,B2100217200000,24/05/2021,DEFERIDO,MAJORITÁRIA,
MATA ATLÂNTICA,B1700348500000,14/07/2017,DEFERIDO,IGUALITÁRIA,
MATA SELVAGEM,B2300364800000,25/08/2023,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
MATAR A LA BESTIA,B2100266400000,24/06/2021,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
MATE-ME POR FAVOR,B1500651700000,27/08/2015,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
MATEÍNA,B2100119800000,19/03/2021,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
MATO SECO EM CHAMAS,B2000076800000,28/02/2020,DEFERIDO,MAJORITÁRIA,
MEMÓRIA CUBANA,B1101435300000,31/05/2011,DEFERIDO,MINORITÁRIA,
MEU AMIGÃOZÃO,B1001317400000,26/10/2010,DEFERIDO,IGUALITÁRIA,ACORDO DE COPRODUÇÃO AUDIOVISUAL ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DO CANADÁ
MEU AMIGÃOZÃO - SEGUNDA TEMPORADA,B1402236600000,16/07/2014,DEFERIDO,IGUALITÁRIA,ACORDO DE COPRODUÇÃO AUDIOVISUAL ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DO CANADÁ
MEU MUNDIAL,B1700479800000,02/10/2017,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
MEU QUERIDO SUPERMERCADO,B2000227100000,08/06/2020,DEFERIDO,MAJORITÁRIA,
MISTER H,B1500532500000,06/07/2015,DEFERIDO,IGUALITÁRIA,
MIÚCHA A VOZ DA BOSSA NOVA,B2200361200000,23/09/2022,DEFERIDO,MAJORITÁRIA,
MOACIR,B1700465300000,20/09/2017,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
MORRO DOS PRAZERES,B1301873000000,04/07/2013,DEFERIDO,IGUALITÁRIA,
MOSQUITO,B2100393900000,14/09/2021,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
MOTEL DESTINO,B2400293500000,24/07/2024,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
MULHER AZUL,B1101442100000,17/06/2011,DEFERIDO,IGUALITÁRIA,
MULHER DO PAI,B1600420900000,30/06/2016,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
MULHERES DO BRASIL,B0600459900000,25/01/2006,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
MUNDIALITO,B1201591100000,08/05/2012,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
MUTUM,B0700721300000,17/07/2007,DEFERIDO,IGUALITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
NA ESTRADA - ON THE ROAD,B1201571900000,23/03/2012,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
NAHUEL E O LIVRO MAGICO,B2300440200000,06/10/2023,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
NARRADORES DE JAVÉ,B0300005800000,13/05/2005,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
NEGOCIADOR,B2300258200000,27/06/2023,DEFERIDO,IGUALITÁRIA,
NEGÓCIO DOS SONHOS,B1600135200000,02/03/2016,DEFERIDO,MAJORITÁRIA,
NINGUÉM ESTÁ OLHANDO,B1700396100000,09/08/2017,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
NO BORDERS,B1500614900000,10/08/2015,DEFERIDO,MAJORITÁRIA,
NO GARGALO DO SAMBA,B1800408200000,03/09/2018,DEFERIDO,IGUALITÁRIA,
NO MEU LUGAR,B0901027100000,04/06/2009,DEFERIDO,MAJORITÁRIA,
NOITE DE FOGO,B2100427500000,05/10/2021,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
NONA - SI ME MOJAN YO LOS QUEMO,B1900203600000,30/04/2019,DEFERIDO,MINORITÁRIA,AJUSTE COMPLEMENTAR ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA DO CHILE NO ÂMBITO DA COOPERAÇÃO E DA COPRODUÇÃO CINEMATOGRÁFICA
NOVA ZELÂNDIA SELVAGEM,B1800267800000,12/06/2018,DEFERIDO,MAJORITÁRIA,
NOVAS ESPÉCIES - A EXPEDIÇÃO DO SÉCULO,B1900245100000,24/05/2019,DEFERIDO,MAJORITÁRIA,
"NOVO MUNDO, PINTURA DE RUA NA AMÉRICA LATINA",B2200457400000,05/12/2022,DEFERIDO,MAJORITÁRIA,
NUNCA NADA ACONTECEU,B2300204700000,26/05/2023,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
NÃO PARE NA PISTA: A MELHOR HISTÓRIA DE PAULO COELHO,B1402201100000,05/06/2014,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
O ANIVERSÁRIO DO SEU LAIR,B2200391300000,13/10/2022,DEFERIDO,MAJORITÁRIA,
O ANJO SURFISTA,B1500230700000,19/03/2015,DEFERIDO,MINORITÁRIA,
O BAILE DOS 41,B2200298400000,08/08/2022,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
O BANHEIRO DO PAPA,B0800821600000,31/01/2008,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
O BRASIL VISTO DO CÉU,B1500270700000,02/04/2015,DEFERIDO,IGUALITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
O BUSCADOR,B2000155000000,17/04/2020,DEFERIDO,MAJORITÁRIA,
O CLUBE DOS ANJOS,B2000525500000,08/12/2020,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
O DIABO BRANCO,B1900453800000,16/09/2019,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
O DIARIO DE ALICE,B2400250600000,19/06/2024,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
O ESTRANHO,B2400020300000,16/01/2024,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
O GRANDE CIRCO MISTICO,B1800000800000,03/01/2018,DEFERIDO,MAJORITÁRIA,
O GRANDE KILAPY,B1301996600000,29/10/2013,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
O JUDEU,B0400102700000,29/09/2004,DEFERIDO,IGUALITÁRIA,
O LIVRO DOS PRAZERES,B2100408100000,21/09/2021,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ARGENTINA
O MANUSCRITO PERDIDO,B1101377500000,16/03/2011,DEFERIDO,MINORITÁRIA,
O MENSAGEIRO,B2300071700000,27/02/2023,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
O MISTÉRIO DA ESTRADA DE SINTRA,B0700688200000,18/05/2007,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
O MISTÉRIO DA FELICIDADE,B1500500200000,29/06/2015,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ARGENTINA
O MISTÉRIO DO BOTO COR DE ROSA,B1600603900000,13/09/2016,DEFERIDO,MINORITÁRIA,
O ORNITÓLOGO,B1600773600000,12/12/2016,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
O OUTRO LADO DA RUA,B0400054400000,23/01/2004,DEFERIDO,IGUALITÁRIA,
O PASSADO,B0700692800000,25/05/2007,DEFERIDO,IGUALITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ARGENTINA
O PROCESSO,B1800130600000,26/03/2018,DEFERIDO,MAJORITÁRIA,
O QUE FICA,B1402392700000,02/10/2014,DEFERIDO,MAJORITÁRIA,
O SAMBA QUE MORA EM MIM,B1001318100000,27/10/2010,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
O SENTIDO DA VIDA,B2000320300000,04/08/2020,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
O SEXO DOS ANJOS,B1201596000000,15/05/2012,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
O SUSSURRO DO JAGUAR,B1900400700000,21/08/2019,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA
O TRAIDOR,B2200089800000,07/03/2022,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
O TREM DA UTOPIA,B2100017600000,14/01/2021,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ITALIANA E TROCA DE NOTAS
O ÚLTIMO JOGO,B1800612900000,28/12/2018,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
O ÚLTIMO PAÍS,B1800228100000,24/05/2018,DEFERIDO,MAJORITÁRIA,
O ÚLTIMO VOO DO FLAMINGO,B1001320600000,04/11/2010,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
OLHANDO PARA AS ESTRELAS,B1700482200000,04/10/2017,DEFERIDO,MAJORITÁRIA,
OLHOS AZUIS - FILME (OLHOS AZUIS),B0901121700000,03/12/2009,DEFERIDO,MAJORITÁRIA,
ONCE UPON A TIME IN VENEZUELA,B2000343800000,19/08/2020,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
ONDE ANDARÁ DULCE VEIGA?,B0700801600000,26/11/2007,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
OS CAMINHOS DO MEU PAI,B2100242000000,10/06/2021,DEFERIDO,MAJORITÁRIA,
OS DOZE TRABALHOS,B0600581800000,11/09/2006,DEFERIDO,MAJORITÁRIA,
OS ENFORCADOS,B2400372400000,19/09/2024,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
OS INIMIGOS DA DOR,B1402391300000,01/10/2014,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
OS MAIAS (ALGUNS) EPISÓDIOS DA VIDA ROMÂNTICA,B1402275800000,22/08/2014,DEFERIDO,MINORITÁRIA,
OS PAPAGAIOS AMARELOS,B0600506100000,08/05/2006,DEFERIDO,IGUALITÁRIA,
OSWALDO - 2° TEMPORADA,B1900211700000,06/05/2019,DEFERIDO,MAJORITÁRIA,
OUTRA HISTÓRIA DO MUNDO,B1700431000000,29/08/2017,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
PALAVRA E UTOPIA,B0700670000000,09/04/2007,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
PALOMA,B2100472800000,28/10/2021,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
PARINTINS - JUNGLE MAGIC,B0600603500000,27/10/2006,DEFERIDO,MINORITÁRIA,
PARQUE PATATI PATATÁ,B1500690000000,11/09/2015,DEFERIDO,MAJORITÁRIA,
PARQUE PATATI PATATÁ - 2ª TEMPORADA,B1600649400000,28/09/2016,DEFERIDO,MAJORITÁRIA,
PARTIDO,B2400258100000,26/06/2024,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
PASSA LÁ EM CASA-PARIS,B2400365800000,16/09/2024,DEFERIDO,MAJORITÁRIA,
PASSAPORTE HÚNGARO,B0300017900000,04/07/2003,DEFERIDO,MINORITÁRIA,
PASSAPORTE PARA LIBERDADE,B2100524400000,06/12/2021,DEFERIDO,MAJORITÁRIA,
PATERNO,B2100339300000,12/08/2021,DEFERIDO,MAJORITÁRIA,
PAULINA,B1600294100000,26/04/2016,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
PEDRO E INÊS,B2100120000000,22/03/2021,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
PEDÁGIO,B2300343300000,15/08/2023,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
PELA JANELA,B1700088100000,23/02/2017,DEFERIDO,MAJORITÁRIA,
PELE DE VIDRO,B2400120900000,22/03/2024,DEFERIDO,MAJORITÁRIA,
